name,strand,start,end,chrom
Ccdc40,+,119228571,119265212,chr11
Ccdc42,+,68587036,68597951,chr11
Ccdc42b,-,120628334,120634235,chr5
Ccdc43,-,102684687,102697725,chr11
Ccdc47,-,106199355,106216367,chr11
Ccdc50,+,27388955,27452218,chr16
Ccdc51,+,109082495,109093363,chr9
Ccdc53,+,88201096,88246158,chr10
Ccdc54,-,50589858,50591154,chr16
Ccdc55,-,77044291,77078437,chr11
Ccdc57,-,120826541,120932872,chr11
Ccdc58,+,36071659,36092118,chr16
Ccdc59,+,105841478,105847510,chr10
Ccdc6,+,70097120,70193200,chr10
Ccdc60,-,116125580,116288985,chr5
Ccdc61,-,18890883,18910404,chr7
Ccdc62,+,123930688,123969895,chr5
Ccdc63,-,122108051,122138062,chr5
Ccdc64,-,115649285,115731559,chr5
Ccdc64b,+,23660522,23668619,chr17
Ccdc65,+,98708226,98723333,chr15
Ccdc66,-,27482404,27508460,chr14
Ccdc67,-,15559863,15627933,chr9
Ccdc68,+,69925558,69969484,chr18
Ccdc69,-,55049737,55078131,chr11
Ccdc7,-,128980018,129065492,chr8
Ccdc70,+,21970595,21974041,chr8
Ccdc71,+,108460517,108465945,chr9
Ccdc71l,+,32378788,32382943,chr12
Ccdc73,+,104886323,104999737,chr2
Ccdc74a,+,17646469,17650738,chr16
Ccdc77,-,120324321,120364369,chr6
Ccdc78,+,25786579,25790513,chr17
Ccdc79,-,104446718,104509887,chr8
Ccdc8,+,16994587,16996645,chr7
Ccdc80,+,45094052,45127924,chr16
Ccdc81,-,89866147,89903629,chr7
Ccdc82,+,13246978,13292353,chr9
Ccdc83,-,90223877,90265432,chr7
Ccdc84,-,44410163,44418007,chr9
Ccdc85a,-,28385683,28584324,chr11
Ccdc85b,-,5453162,5457563,chr19
Ccdc85c,-,108206344,108275417,chr12
Ccdc86,-,10941480,10949266,chr19
Ccdc87,+,4839365,4842528,chr19
Ccdc88a,+,29374171,29510808,chr11
Ccdc88b,-,6844622,6858211,chr19
Ccdc88c,-,100912699,101028983,chr12
Ccdc89,+,90426311,90428664,chr7
Ccdc9,-,16274041,16286795,chr7
Ccdc90b,+,92561148,92582294,chr7
Ccdc91,+,147475870,147632612,chr6
Ccdc92,-,124834431,124862221,chr5
Ccdc93,+,121431066,121506460,chr1
Ccdc94,+,55959186,55967951,chr17
Ccdc96,+,36484587,36488171,chr5
Ccdc97,-,25711116,25719053,chr7
Ccer1,+,97693058,97694926,chr10
Cchcr1,+,35517115,35531015,chr17
Ccin,+,43983503,43985533,chr4
Cck,-,121489823,121495694,chr9
Cckar,-,53698484,53707704,chr5
Cckbr,+,105425730,105436339,chr7
Ccl1,-,82176665,82179812,chr11
Ccl11,+,82057831,82062955,chr11
Ccl12,+,82101844,82103399,chr11
Ccl17,+,94810452,94812036,chr8
Ccl19,-,102333,42756518,chr4_JH584294_random
Ccl2,+,82035576,82037452,chr11
Ccl20,+,83116765,83119167,chr1
Ccl21a,-,120654,42773991,chr4_JH584294_random
Ccl21b,-,0,42613253,chr4_JH584293_random
Ccl21c,-,0,42613253,chr4_JH584293_random
Ccl22,+,94745683,94751388,chr8
Ccl24,-,135569936,135573043,chr5
Ccl25,+,4325209,4360020,chr8
Ccl26,-,135560447,135563569,chr5
Ccl27a,-,41769469,41774176,chr4
Ccl27b,+,1717,42656005,chr4_JH584294_random
Ccl28,+,119623818,119654358,chr13
Ccl3,-,83647842,83649378,chr11
Ccl4,+,83662583,83664683,chr11
Ccl5,-,83525778,83530518,chr11
Ccl6,-,83587885,83593087,chr11
Ccl7,+,82045711,82047523,chr11
Ccl8,+,82115184,82116799,chr11
Ccl9,-,83572916,83578636,chr11
Ccm2,+,6546886,6596761,chr11
Ccm2l,+,153065954,153081735,chr2
Ccna1,-,55045468,55055055,chr3
Ccna2,-,36564864,36571996,chr3
Ccnb1,-,100778738,100786486,chr13
Ccnb1ip1,-,50789248,50795728,chr14
Ccnb2,-,70407688,70421554,chr9
Ccnb3,-,6979651,7041619,chrX
Ccnc,+,21727700,21759922,chr4
Ccnd1,-,144929930,144939925,chr7
Ccnd2,-,127125708,127151048,chr6
Ccnd3,+,47505050,47599688,chr17
Ccndbp1,+,121008407,121016912,chr2
Ccne1,-,38097983,38107490,chr7
Ccne2,+,11191350,11204779,chr4
Ccnf,-,24223231,24251409,chr17
Ccng1,-,40748551,40755286,chr11
Ccng2,+,93267572,93276231,chr5
Ccnh,+,85189476,85213723,chr13
Ccni,-,93181932,93206495,chr5
Ccnj,+,40831278,40848570,chr19
Ccnjl,+,43528748,43586999,chr11
Ccnk,+,108179737,108203359,chr12
Ccnl1,-,65946150,65958225,chr3
Ccnl2,+,155812488,155824543,chr4
Ccno,+,112987801,112990778,chr13
Ccnt1,-,98543210,98567636,chr15
Ccnt2,+,127774163,127804837,chr1
Ccny,-,9314043,9450150,chr18
Ccnyl1,+,64691344,64725642,chr1
Ccp110,+,118712610,118737018,chr7
Ccpg1,+,72985503,73016341,chr9
Ccpg1os,-,72979724,72985376,chr9
Ccr1,-,123962125,123968692,chr9
Ccr10,-,101172997,101175443,chr11
Ccr1l1,-,123976948,123978408,chr9
Ccr2,+,124102182,124109140,chr9
Ccr3,+,124021970,124031689,chr9
Ccr4,-,114490315,114496544,chr9
Ccr5,+,124121542,124127183,chr9
Ccr6,+,8236042,8257129,chr17
Ccr7,-,99144198,99155077,chr11
Ccr8,+,120092132,120094906,chr9
Ccr9,+,123767210,123783457,chr9
Ccrl2,-,111054833,111057518,chr9
Ccrn4l,+,51224446,51251654,chr3
Ccs,-,4825365,4839322,chr19
Ccsap,-,123840843,123860209,chr8
Ccser1,+,61180324,62382863,chr6
Ccser2,-,36874935,36968764,chr14
Cct2,-,117050997,117063814,chr10
Cct3,+,88297134,88321766,chr3
Cct4,+,22990592,23003336,chr11
Cct5,-,31590883,31601804,chr15
Cct6a,+,129787355,129846443,chr5
Cct6b,-,82719247,82764321,chr11
Cct7,+,85451504,85468477,chr6
Cct8,-,87483324,87495869,chr16
Cct8l1,+,25516066,25518027,chr5
Ccz1,-,143987908,144014853,chr5
Cd101,-,100993528,101029495,chr3
Cd109,+,78615545,78716260,chr9
Cd14,-,36725063,36726815,chr18
Cd151,+,141467361,141471481,chr7
Cd160,-,96798762,96829351,chr3
Cd163,+,124304650,124330527,chr6
Cd163l1,+,140218266,140231145,chr7
Cd164,+,41519499,41531042,chr10
Cd164l2,+,133220808,133224554,chr4
Cd177,-,24743982,24760311,chr7
Cd180,+,102693557,102706631,chr13
Cd19,-,126408447,126414870,chr7
Cd1d1,-,86995835,86999340,chr3
Cd1d2,+,86986585,86989532,chr3
Cd2,-,101275907,101287939,chr3
Cd200,-,45382134,45409053,chr16
Cd200r1,+,44765735,44794977,chr16
Cd200r2,+,44867096,44915840,chr16
Cd200r3,+,44943677,44981380,chr16
Cd200r4,+,44820727,44839150,chr16
Cd207,-,83671206,83677857,chr6
Cd209a,-,3743394,3748984,chr8
Cd209b,-,3917654,3926841,chr8
Cd209c,-,3940221,3946863,chr8
Cd209d,-,3871823,3878499,chr8
Cd209e,-,3847972,3854286,chr8
Cd209f,-,4102792,4105764,chr8
Cd209g,+,4134735,4137707,chr8
Cd22,-,30865403,30880342,chr7
Cd226,+,89197426,89270327,chr18
Cd244,+,171559192,171585316,chr1
Cd247,+,165788680,165871153,chr1
Cd248,+,5068077,5070639,chr19
Cd24a,+,43579168,43584265,chr10
Cd27,-,125232621,125237027,chr6
Cd274,+,29367437,29388094,chr19
Cd276,-,58524299,58540940,chr9
Cd28,+,60746387,60773359,chr1
Cd2ap,-,42792950,42876424,chr17
Cd2bp2,-,127191659,127196077,chr7
Cd300a,+,114890040,114904651,chr11
Cd300c,-,114956277,114960417,chr11
Cd300e,-,115051916,115062038,chr11
Cd300lb,-,114922780,114934386,chr11
Cd300ld,-,114982445,114989886,chr11
Cd300lf,-,115116213,115133992,chr11
Cd300lg,+,102041510,102055617,chr11
Cd300lh,-,115031485,115048295,chr11
Cd302,-,60251992,60284484,chr2
Cd320,+,33843090,33849774,chr17
Cd33,-,43527455,43533171,chr7
Cd34,+,194938820,194961292,chr1
Cd36,-,17781689,17888959,chr5
Cd37,-,45233631,45239115,chr7
Cd38,+,43868826,43912374,chr5
Cd3d,+,44981785,44987052,chr9
Cd3e,-,44998742,45009590,chr9
Cd3eap,-,19356008,19359483,chr7
Cd3g,-,44969571,44980431,chr9
Cd4,-,124864692,124888209,chr6
Cd40,+,165055635,165071654,chr2
Cd40lg,+,57212142,57224042,chrX
Cd44,-,102811141,102901665,chr2
Cd46,-,195041899,195092248,chr1
Cd47,+,49855653,49911683,chr16
Cd48,+,171682054,171705257,chr1
Cd5,-,10718142,10738974,chr19
Cd52,-,134093537,134095073,chr4
Cd53,-,106758860,106790149,chr3
Cd55,-,130439029,130462740,chr1
Cd59a,+,104095800,104115410,chr2
Cd59b,+,104071009,104084957,chr2
Cd5l,+,87357880,87371074,chr3
Cd6,-,10789338,10830058,chr19
Cd63,+,128908918,128912818,chr10
Cd68,-,69664212,69666170,chr11
Cd69,-,129267324,129275369,chr6
Cd7,-,121036748,121039478,chr11
Cd70,-,57145996,57149777,chr17
Cd72,-,43447723,43454626,chr4
Cd74,+,60803848,60812652,chr18
Cd79a,+,24897510,24902197,chr7
Cd79b,-,106311340,106314529,chr11
Cd80,+,38458932,38486932,chr16
Cd81,+,143052749,143067930,chr7
Cd82,-,93419101,93462950,chr2
Cd83,+,43785111,43803133,chr13
Cd84,+,171839696,171890718,chr1
Cd86,-,36603868,36666077,chr16
Cd8a,+,71373426,71379171,chr6
Cd8b1,+,71322811,71337451,chr6
Cd9,-,125460265,125494755,chr6
Cd93,-,148436650,148443535,chr2
Cd96,-,46035656,46120248,chr16
Cd99l2,-,71420059,71492849,chrX
Cda,-,138338527,138367955,chr4
Cdadc1,-,59559387,59597959,chr14
Cdan1,-,120716153,120731517,chr2
Cdc123,-,5794293,5844960,chr2
Cdc14a,-,116272552,116424032,chr3
Cdc14b,-,64192544,64274988,chr13
Cdc16,+,13757689,13781882,chr8
Cdc20,-,118432900,118437343,chr4
Cdc20b,+,113035378,113091135,chr13
Cdc23,-,34631682,34651736,chr18
Cdc25a,+,109875578,109893890,chr9
Cdc25b,+,131186947,131198511,chr2
Cdc25c,-,34732994,34751533,chr18
Cdc26,-,62394588,62408623,chr4
Cdc27,-,104502525,104550620,chr11
Cdc34,+,79682194,79688398,chr10
Cdc37,-,21138540,21149906,chr9
Cdc37l1,+,28990351,29026678,chr19
Cdc40,-,40831621,40883143,chr10
Cdc42,-,137319695,137357759,chr4
Cdc42bpa,+,179961088,180165602,chr1
Cdc42bpb,-,111292971,111377718,chr12
Cdc42bpg,+,6306456,6325652,chr19
Cdc42ep1,+,78842646,78850902,chr15
Cdc42ep2,-,5917555,5924816,chr19
Cdc42ep3,-,79334024,79355091,chr17
Cdc42ep4,-,113726849,113751815,chr11
Cdc42ep5,-,4151259,4164699,chr7
Cdc42se1,+,95228423,95236424,chr3
Cdc42se2,-,54717414,54787703,chr11
Cdc45,-,18780446,18811972,chr16
Cdc5l,-,45391887,45433707,chr17
Cdc6,+,98907888,98923942,chr11
Cdc7,+,106964321,106984439,chr5
Cdc73,-,143607498,143702684,chr1
Cdca2,-,67676353,67715841,chr14
Cdca3,+,124830175,124833701,chr6
Cdca4,-,112820234,112829389,chr12
Cdca5,+,6085096,6091773,chr19
Cdca7,+,72476218,72486890,chr2
Cdca7l,+,117843860,117878706,chr12
Cdca8,-,124918464,124936917,chr4
Cdcp1,-,123172284,123216038,chr9
Cdcp2,+,107096890,107107748,chr4
Cdh1,+,106603367,106670246,chr8
Cdh10,+,18820328,19014234,chr15
Cdh11,-,102632994,102785111,chr8
Cdh12,+,21111451,21589533,chr15
Cdh13,+,118283754,119323448,chr8
Cdh15,+,122848373,122867397,chr8
Cdh16,-,104601914,104624396,chr8
Cdh17,+,11758156,11817905,chr4
Cdh18,+,23036462,23474418,chr15
Cdh19,-,110889194,110977372,chr1
Cdh2,-,16588876,16809049,chr18
Cdh20,+,104768818,104995481,chr1
Cdh22,-,165111506,165234737,chr2
Cdh23,-,60302749,60696490,chr10
Cdh24,-,54631991,54641364,chr14
Cdh26,+,178430514,178487366,chr2
Cdh3,+,106510851,106556911,chr8
Cdh4,+,179442477,179899375,chr2
Cdh5,+,104101624,104144502,chr8
Cdh6,-,13034199,13173639,chr15
Cdh7,+,109983736,110139001,chr1
Cdh8,-,99024470,99416471,chr8
Cdh9,+,16778100,16856777,chr15
Cdhr1,-,37077848,37098311,chr14
Cdhr2,+,54701462,54736662,chr13
Cdhr3,-,33033795,33092875,chr12
Cdhr5,-,141269084,141276786,chr7
Cdip1,-,4765460,4789935,chr16
Cdipt,+,126975913,126980501,chr7
Cdk1,-,69336634,69352912,chr10
Cdk10,+,123224840,123232256,chr8
Cdk11b,+,155624868,155649932,chr4
Cdk12,+,98203304,98253540,chr11
Cdk13,-,17715961,17805097,chr13
Cdk14,-,4803384,5380251,chr5
Cdk15,+,59256906,59352369,chr1
Cdk16,+,20688492,20699877,chrX
Cdk17,+,93160875,93241342,chr10
Cdk18,-,132113546,132139685,chr1
Cdk19,+,40349307,40483818,chr10
Cdk2,-,128697938,128705051,chr10
Cdk20,+,64432552,64439721,chr13
Cdk2ap1,-,124345438,124354628,chr5
Cdk2ap2,+,4097350,4099017,chr19
Cdk3-ps,+,116216001,116220287,chr11
Cdk4,+,127063602,127067282,chr10
Cdk5,-,24418241,24423530,chr5
Cdk5r1,+,80477045,80481179,chr11
Cdk5r2,+,74855028,74857732,chr1
Cdk5rap1,-,154335385,154372719,chr2
Cdk5rap2,-,70223023,70410367,chr4
Cdk5rap3,-,96907785,96916481,chr11
Cdk6,+,3344311,3522225,chr5
Cdk7,-,100697024,100730942,chr13
Cdk8,+,146231674,146302874,chr5
Cdk9,-,32705781,32712784,chr2
Cdkal1,-,29325305,29855588,chr13
Cdkl1,-,69746847,69790707,chr12
Cdkl2,-,92006073,92043042,chr5
Cdkl3,+,52004220,52084667,chr11
Cdkl4,-,80523549,80563834,chr17
Cdkl5,-,160784307,160994681,chrX
Cdkn1a,+,29090985,29100722,chr17
Cdkn1b,+,134920400,134925525,chr6
Cdkn1c,-,143458338,143461050,chr7
Cdkn2a,-,89274472,89294619,chr4
Cdkn2aip,-,47709343,47713931,chr8
Cdkn2aipnl,+,51967630,51977336,chr11
Cdkn2b,-,89306288,89311032,chr4
Cdkn2c,-,109660875,109666756,chr4
Cdkn2d,-,21288463,21291209,chr9
Cdkn3,+,46760540,46771525,chr14
Cdnf,+,3513064,3526376,chr2
Cdo1,-,46713204,46728342,chr18
Cdon,+,35452075,35507652,chr9
Cdpf1,-,85806971,85811697,chr15
Cdr1,-,61183245,61185558,chrX
Cdr2,-,120957036,120982312,chr7
Cdr2l,+,115381915,115396132,chr11
Cdrt4,+,62951192,62993095,chr11
Cdrt4os1,-,62990452,63004134,chr11
Cds1,+,101765129,101823852,chr5
Cds2,+,132263147,132312050,chr2
Cdsn,+,35552127,35557180,chr17
Cdt1,+,122568014,122573130,chr8
Cdv3,-,103353101,103365780,chr9
Cdx1,-,61018861,61036199,chr18
Cdx2,-,147300899,147307249,chr5
Cdx4,+,103321397,103330224,chrX
Cdyl,+,35659861,35874064,chr13
Cdyl2,-,116568723,116732991,chr8
Ceacam-ps1,-,16649029,16657478,chr7
Ceacam1,-,25461701,25477625,chr7
Ceacam10,+,24777203,24784655,chr7
Ceacam11,+,17972166,17978556,chr7
Ceacam12,+,18065928,18077986,chr7
Ceacam13,+,18009888,18019220,chr7
Ceacam14,+,17812681,17815627,chr7
Ceacam15,-,16671330,16675705,chr7
Ceacam16,-,19852096,19861299,chr7
Ceacam18,+,43634738,43649294,chr7
Ceacam19,-,19875741,19887965,chr7
Ceacam2,-,25516041,25540004,chr7
Ceacam20,+,19965411,19991111,chr7
Ceacam3,+,17150399,17163231,chr7
Ceacam5,+,17713251,17761121,chr7
Ceacam9,+,16721928,16726110,chr7
Cebpa,+,35119292,35121931,chr7
Cebpb,+,167688914,167690432,chr2
Cebpd,+,15887285,15889545,chr16
Cebpe,-,54710362,54712174,chr14
Cebpg,-,35046421,35056566,chr7
Cebpz,-,78919002,78937070,chr17
Cebpzos,+,78916498,78921048,chr17
Cecr2,+,120666420,120771191,chr6
Cecr5,-,120509493,120531299,chr6
Cecr6,-,120488938,120493807,chr6
Cel,-,28555819,28563362,chr2
Cela1,-,100674421,100687920,chr15
Cela2a,-,141814962,141826003,chr4
Cela3a,-,137401553,137409791,chr4
Cela3b,-,137421007,137430520,chr4
Celf1,+,90940396,91019497,chr2
Celf2,-,6539698,7396198,chr2
Celf3,+,94478294,94492198,chr3
Celf4,-,25477619,25753983,chr18
Celf5,-,81459227,81482709,chr10
Celf6,+,59578336,59607292,chr9
Celrr,+,121087404,121120975,chr1
Celsr1,-,85898757,86033777,chr15
Celsr2,-,108390847,108415494,chr3
Celsr3,+,108826319,108852969,chr9
Cemip,-,83932856,84086505,chr7
Cend1,-,141426450,141429420,chr7
Cenpa,+,30666885,30674837,chr5
Cenpb,-,131177288,131180012,chr2
Cenpc1,-,86012024,86065583,chr5
Cenpe,+,135212562,135273540,chr3
Cenpf,-,189640613,189688086,chr1
Cenph,-,100759685,100775899,chr13
Cenpi,+,134308083,134363104,chrX
Cenpj,-,56526760,56571846,chr14
Cenpk,+,104228610,104249622,chr13
Cenpl,+,161070766,161086724,chr1
Cenpm,-,82233775,82244747,chr15
Cenpn,+,116921739,116941503,chr8
Cenpo,-,4211671,4234294,chr12
Cenpp,-,49464058,49652731,chr13
Cenpq,-,40923054,40934551,chr17
Cenpt,-,105844677,105852008,chr8
Cenpu,+,46552068,46579584,chr8
Cenpv,-,62524943,62539261,chr11
Cenpw,-,30196008,30200540,chr10
Cep104,+,153975560,154007225,chr4
Cep112,+,108425265,108860615,chr11
Cep120,-,53681722,53744547,chr18
Cep126,-,8076632,8134294,chr9
Cep128,-,90998491,91384409,chr12
Cep131,-,120064429,120086827,chr11
Cep135,+,76591713,76646466,chr5
Cep152,-,125563087,125625113,chr2
Cep162,-,87191962,87255532,chr9
Cep164,-,45766945,45828638,chr9
Cep170,-,176733652,176807124,chr1
Cep170b,+,112722173,112746591,chr12
Cep19,+,32099801,32108054,chr16
Cep192,+,67800106,67885170,chr18
Cep250,+,155956557,155998900,chr2
Cep290,+,100488288,100573655,chr10
Cep295,-,15316913,15357788,chr9
Cep350,-,155844963,155973255,chr1
Cep41,-,30653456,30693749,chr6
Cep44,-,56531521,56550566,chr8
Cep55,+,38055024,38074425,chr19
Cep57,-,13807787,13827107,chr9
Cep57l1,-,41718839,41809868,chr10
Cep63,-,102586577,102626124,chr9
Cep68,-,20227036,20249424,chr11
Cep70,+,99243467,99300403,chr9
Cep72,-,74036494,74062285,chr13
Cep76,-,67617396,67641336,chr18
Cep78,-,15955772,15984989,chr19
Cep83,+,94688789,94790336,chr10
Cep83os,-,94673492,94688613,chr10
Cep85,-,134129857,134187085,chr4
Cep85l,-,53278080,53379851,chr10
Cep89,+,35397092,35438684,chr7
Cep95,+,106789251,106818861,chr11
Cep97,-,55899887,55934848,chr16
Cept1,-,106502259,106547802,chr3
Cer1,-,82881750,82885151,chr4
Cercam,+,29869493,29882840,chr2
Cerk,-,86139100,86186141,chr15
Cerkl,-,79332490,79428988,chr2
Cers1,+,70315774,70331588,chr8
Cers2,+,95315251,95323568,chr3
Cers3,+,66743503,66823692,chr7
Cers4,+,4493404,4526079,chr8
Cers5,-,99735591,99772515,chr15
Cers6,+,68861556,69111290,chr2
Ces1a,-,93020214,93048192,chr8
Ces1b,-,93056726,93080017,chr8
Ces1c,-,93099015,93131283,chr8
Ces1d,-,93166071,93197804,chr8
Ces1e,-,93201217,93229619,chr8
Ces1f,-,93256235,93279736,chr8
Ces1g,-,93302368,93337209,chr8
Ces2a,+,104734002,104741634,chr8
Ces2b,+,104831643,104838652,chr8
Ces2c,+,104847067,104854482,chr8
Ces2d-ps,+,104867423,104874082,chr8
Ces2e,+,104926259,104934672,chr8
Ces2f,+,104947355,104955962,chr8
Ces2g,+,104961717,104969537,chr8
Ces2h,+,105000852,105020410,chr8
Ces3a,+,105048598,105058414,chr8
Ces3b,+,105083754,105093591,chr8
Ces4a,+,105131799,105150109,chr8
Ces5a,-,93499212,93535707,chr8
Cetn1,-,9618418,9619469,chr18
Cetn2,-,72913564,72918344,chrX
Cetn3,+,81783291,81797157,chr13
Cetn4,-,37308626,37312446,chr3
Cfap126,+,171121660,171126967,chr1
Cfap20,-,95420249,95434869,chr8
Cfap221,-,119923518,119995210,chr1
Cfap36,-,29221535,29247272,chr11
Cfap43,-,47736856,47837361,chr19
Cfap44,+,44394798,44482428,chr16
Cfap45,+,172521129,172545870,chr1
Cfap46,-,139600914,139683815,chr7
Cfap52,-,67924805,67965642,chr11
Cfap53,+,74283099,74359984,chr18
Cfap57,-,118554550,118620405,chr4
Cfap58,+,47937711,48035379,chr19
Cfap61,+,145934783,145964226,chr2
Cfap69,-,5580981,5664232,chr5
Cfap70,-,20394189,20452225,chr14
Cfap74,+,155409189,155443110,chr4
Cfap97,+,46169555,46195590,chr8
Cfb,-,34856373,34862514,chr17
Cfc1,+,34535647,34544311,chr1
Cfd,+,79890852,79892660,chr10
Cfdp1,-,111768472,111854310,chr8
Cfh,-,140085854,140183411,chr1
Cfhr1,-,139547063,139560222,chr1
Cfhr2,-,139810291,139858699,chr1
Cfi,+,129836738,129875328,chr3
Cfl1,+,5490454,5494031,chr19
Cfl2,-,54858818,54862877,chr12
Cflar,+,58711490,58759209,chr1
Cfp,-,20925534,20931524,chrX
Cftr,+,18170686,18322769,chr6
Cga,+,34893778,34907374,chr4
Cggbp1,+,64852084,64859491,chr16
Cgn,-,94760069,94786515,chr3
Cgnl1,-,71626506,71771602,chr9
Cgref1,-,30933142,30945480,chr5
Cgrrf1,+,46832243,46854190,chr14
Ch25h,-,34473783,34475135,chr19
Chac1,+,119351241,119354327,chr2
Chac2,-,30976706,30986365,chr11
Chad,+,94565073,94569127,chr11
Chadl,-,81686166,81697287,chr15
Chaf1a,+,56040415,56068026,chr17
Chaf1b,+,93883900,93906106,chr16
Champ1,+,13869640,13881639,chr8
Chat,-,32408202,32465909,chr14
Chchd1,+,20703026,20704425,chr14
Chchd10,+,75935572,75937734,chr10
Chchd2,-,129881160,129887470,chr5
Chchd3,-,32792226,33060152,chr6
Chchd4,-,91464275,91473423,chr6
Chchd5,+,129129699,129134111,chr2
Chchd6,-,89383145,89595652,chr6
Chchd7,+,3938887,3951382,chr4
Chd1,+,15704966,15772612,chr17
Chd1l,-,97560747,97610190,chr3
Chd2,-,73426651,73541746,chr7
Chd3,-,69343272,69369426,chr11
Chd3os,+,69340768,69342647,chr11
Chd4,+,125096162,125130501,chr6
Chd5,+,152338650,152390194,chr4
Chd6,-,160946977,161109086,chr2
Chd7,+,8690405,8868449,chr4
Chd8,-,52198150,52237572,chr14
Chd9,+,90828834,91054508,chr8
Chdh,+,30008999,30040466,chr14
Chek1,-,36708481,36726658,chr9
Chek2,+,110840016,110874133,chr5
Cherp,-,72460482,72475233,chr8
Chfr,+,110135829,110171973,chr5
Chga,+,102554968,102565027,chr12
Chgb,+,132781277,132795072,chr2
Chia1,+,106113381,106132116,chr3
Chic1,+,103356475,103396118,chrX
Chic2,-,75006423,75044626,chr5
Chid1,-,141493135,141539857,chr7
Chil1,+,134182403,134190031,chr1
Chil3,-,106147553,106167564,chr3
Chil4,-,106201490,106219479,chr3
Chil6,-,106387383,106406182,chr3
Chit1,+,134111241,134151540,chr1
Chka,+,3851772,3894369,chr19
Chkb,-,89426348,89429927,chr15
ChkbCpt1b,-,89416404,89429927,chr15
Chl1,+,103510875,103733035,chr6
Chm,-,113040591,113185515,chrX
Chml,-,175682237,175688353,chr1
Chmp1a,-,123204260,123212788,chr8
Chmp1b,+,67205358,67207887,chr18
Chmp2a,-,13032005,13034777,chr7
Chmp2b,-,65539132,65562697,chr16
Chmp3,+,71543853,71581574,chr6
Chmp4b,+,154657025,154694783,chr2
Chmp4c,+,10366972,10391005,chr3
Chmp5,+,40948552,40965302,chr4
Chmp6,+,119913809,119919552,chr11
Chmp7,-,69716978,69732570,chr14
Chn1,-,73610659,73775346,chr2
Chn1os3,+,73596525,73616012,chr2
Chn2,+,54039931,54301812,chr6
Chodl,+,78930947,78951728,chr16
Chordc1,+,18292266,18314000,chr9
Chp1,+,119547706,119587022,chr2
Chp2,+,122219495,122222539,chr7
Chpf,-,75474568,75479471,chr1
Chpf2,+,24586749,24592486,chr5
Chpt1,-,88472812,88503970,chr10
Chrac1,+,73090411,73094075,chr15
Chrd,+,20733126,20742384,chr16
Chrdl1,-,143285673,143394262,chrX
Chrdl2,+,100006403,100034726,chr7
Chrm1,+,8664004,8683602,chr19
Chrm2,+,36388083,36524774,chr6
Chrm3,-,9876612,10360803,chr13
Chrm4,+,91922188,91929829,chr2
Chrm5,-,112479071,112480817,chr2
Chrna1,-,73563280,73580338,chr2
Chrna10,-,102111265,102116713,chr7
Chrna2,+,66140959,66152948,chr14
Chrna3,-,55011342,55026559,chr9
Chrna4,-,181022310,181039177,chr2
Chrna5,+,54980879,55007779,chr9
Chrna6,-,27403211,27413944,chr8
Chrna7,-,63098691,63212526,chr7
Chrna9,+,65967123,65977486,chr5
Chrnb1,-,69784035,69795937,chr11
Chrnb2,-,89753447,89764632,chr3
Chrnb3,+,27368710,27399730,chr8
Chrnb4,-,55028155,55048544,chr9
Chrnd,+,87190596,87200070,chr1
Chrne,-,70614882,70619194,chr11
Chrng,+,87205810,87211835,chr1
Chst1,+,92599706,92615252,chr2
Chst10,-,38863872,38898160,chr1
Chst11,+,82985496,83195891,chr10
Chst12,+,140505608,140525238,chr5
Chst13,-,90308350,90325185,chr6
Chst14,+,118926496,118928583,chr2
Chst15,-,132236254,132317155,chr7
Chst2,-,95400925,95407270,chr9
Chst3,-,60181527,60219260,chr10
Chst4,-,110029074,110039334,chr8
Chst5,-,111889134,111910199,chr8
Chst7,+,20059569,20097520,chrX
Chst8,-,34674467,34812711,chr7
Chst9,-,15452174,15718046,chr18
Chsy1,+,66109514,66173798,chr7
Chsy3,+,59175339,59411336,chr18
Chtf18,-,25719029,25727415,chr17
Chtf8,-,106883862,106893593,chr8
Chtop,-,90498538,90509498,chr3
Chuk,-,44073333,44107477,chr19
Churc1,+,76765572,76783178,chr12
Ciao1,-,127240937,127247816,chr2
Ciapin1,-,94819817,94838340,chr8
Ciart,-,95878504,95882228,chr3
Cib1,-,80227155,80232805,chr7
Cib2,-,54545351,54560079,chr9
Cib3,-,72204334,72212837,chr8
Cib4,-,30485583,30545836,chr5
Cic,+,25267698,25294159,chr7
Cidea,+,67343563,67367794,chr18
Cideb,-,55754054,55758424,chr14
Cidec,-,113424633,113435760,chr6
Ciita,+,10480071,10527640,chr16
Cilp,+,65265179,65280605,chr9
Cilp2,-,69880365,69887392,chr8
Cinp,-,110872609,110889145,chr12
Cipc,+,86947040,86965366,chr12
Cir1,-,73283871,73312592,chr2
Cirbp,+,80167840,80171653,chr10
Cirh1a,+,106893639,106923094,chr8
Cisd1,-,71330493,71344849,chr10
Cisd2,-,135406411,135423433,chr3
Cisd3,+,97685951,97688625,chr11
Cish,+,107296688,107301961,chr9
Cistr-act,-,102746440,102746909,chr15
Cit,+,115845655,116006341,chr5
Cited1,-,102247377,102252181,chrX
Cited2,+,17723227,17725674,chr10
Cited4,+,120666562,120667820,chr4
Ciz1,+,32363009,32378313,chr2
Ckap2,-,22168151,22185819,chr8
Ckap2l,-,129268209,129297212,chr2
Ckap4,-,84526304,84533888,chr10
Ckap5,+,91546321,91620665,chr2
Ckb,-,111669354,111672338,chr12
